transcription,transcription_hubert
TEA SERVED FROM THE BROWN JUG IS TASTY,TEA SERVED FROM THE BROWN JUG IS TASTY
A DASH OF PEPPER SPOILS BEEF STEW,A DASH OF PEPER SPOILS BEF STEW
A ZESTFUL FOOD IS THE HOT CROSS BUN,A ZEST FOR FOD IS THE HART GROS PUN
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE,THE HORSE TROTING AROUND THE FIELD AT A BRISK PACE
FIND THE TWIN WHO STOLE THE PEARL NECKLACE,FIND THE TWIN WHO STOLE THE PEARL NECKLACE
CUT THE CORD THAT BINDS THE BOX TIGHTLY,CUT THE CORD THAT BINDS THE BOX TIGHTLY
THE RED TAPE BOUND THE SMUGGLED FOOD,THE RED TAPE BOUND THE SMUGLED FOD
LOOK IN THE CORNER TO FIND THE TAN SHIRT,LOK IN THE CORNER TO FIND THE DAN SHIRT
THE COLD DRIZZLE WILL HALT THE BOND DRIVE,THE COLD DRIZLE WIL HALT THE BON DRIVE
NINE MEN WERE HIRED TO DIG THE RUINS,NINE MEN WERE HIRED TO DIG THE RUINS
THE JUNKYARD HAD A MOULDY SMELL,THE JUNK YARD HAD A MOLDY SMEL
THE FLINT SPUTTERED AND LIT A PINE TORCH,THE FLINT SPUTERED AND LIT A PINE TORCH
SOAK THE CLOTH AND DROWN THE SHARP ODOUR,SOAK THE CLOTH AND DROWN THE SHARP ODER
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS,THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS
A JOY TO EVERY CHILD IS THE SWAN BOAT,A JOY TO EVERY CHILD IS THE SWAN BOAT
ALL SAT FROZEN AND WATCHED THE SCREEN,AL SAT FROZEN AND WATCHED THE SCREN
A CLOUD OF DUST STUNG HIS TENDER EYES,A CLOUD OF DUST STUNG HIS TENDER EYES
TO REACH THE END HE NEEDS MUCH COURAGE,TO REACH THE END HE NEDS MUCH COURAGE
SHAPE THE CLAY GENTLY INTO BLOCK FORM,SHAPE THE CLAY GENTLY INTO BLOCK FORM
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW,A RIDGE ON A SMOTH SURFACE IS A BUMP OR FLAW
HEDGE APPLES MAY STAIN YOUR HANDS GREEN,HEDGEAPLES MAY STAIN YOUR HANDS GREN
QUENCH YOUR THIRST,QUENCH YOUR THIRST
THEN EAT THE CRACKERS,BENEATH THE CROCKERS
TIGHT CURLS GET LIMP ON RAINY DAYS,TIGHT CURLS GET LIMP ON RAINY DAYS
THE MUTE MUFFLED THE HIGH TONES OF THE HORN,THE MUTE MUFLED THE HIGH TONES OF THE HORN
THE GOLD RING FITS ONLY A PIERCED EAR,THE GOLD RING FRITZ ONLY APIERCED TERE
THE OLD PAN WAS COVERED WITH HARD FUDGE,THE OLD PEN WAS COVERED WITH HARD FUDGE
WATCH THE LOG FLOAT IN THE WIDE RIVER,WATCH THE LOG FLOAT IN THE WIDE RIVER
THE NOTE ON THIS STALK OF WHEAT GREW DAILY,THE NOT ON THE STALK OF WHEAT GREW DAILY
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE,THE HEAP OF FALEN LEAVES WAS SET ON FIRE
RITE FAST IF YOU WANT TO FINISH EARLY,RITE FAST IF YOU WANT TO FINISH EARLY
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE,HIS SHIRT WAS CLEAN BUT ONE BUTON WAS GONE
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS,THE BAREL OF BER WAS A BREW OF MALT AND HOPS
TIN CANS ARE ABSENT FROM STORE SHELVES,TIN CANS ARE ABSENT FROM STORE SHELVES
SLIDE THE BOX INTO THAT EMPTY SPACE,SLIDE THE BOX INTO THAT EMPTY SPACE
THE PLANT GREW LARGE AND GREEN IN THE WINDOW,THE PLANT GREW LARGE AND GREN IN THE WINDOW
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD,THE BEAM DROPED DOWN ON THE WORKMAN'S HEAD
PINK CLOUDS FLOATED WITH THE BREEZE,PINK CLOUDS FLOATED WITH THE BREZE
SHE DANCED LIKE A SWAN,SHE DANCED LIKE A SWAN
TALL AND GRACEFUL,TAL AND GRACEFUL
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS,THE TUBE WAS BLOWN AN THE TIRE FLAT AND USELES
IT IS LATE MORNING ON THE OLD WALL CLOCK,IT IS LATE MORNING ON THE OLD WAL CLOCK
LET'S ALL JOIN AS WE SING THE LAST CHORUS,LET'S AL JOIN AS WE SING THE LAST CHORUS
THE LAST SWITCH CANNOT BE TURNED OFF,THE LAST SWITCH CANOT BE TURNED OF
THE FIGHT WILL END IN JUST SIX MINUTES,THE FIGHT WIL END IN JUST SIX MINUTES
THE STORE WALLS WERE LINED WITH COLORED FROCKS,THE STORE WALS WERE LINED WITH COLORED FROCKS
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS,THE PEACE LEAGUE MET TO DISCUS THEIR PLANS
THE RISE TO FAME OF A PERSON TAKES LUCK,THE RISE TO FAME OF A PERSON TAKES LUCK
PAPER IS SCARCE,PAPER IS SCARCE
SO WRITE WITH MUCH CARE,SO WRITE WITH MUCH CARE
THE QUICK FOX JUMPED ON THE SLEEPING CAT,THE QUICK FOX JUMPED ON THE SLEPING CAT
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS,THE NUZLE OF THE FIRE HOSE WAS BRIGHT BRAS
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED,SCREW THE ROUND CAP ON AS TIGHT AS NEDED
TIME BRINGS US MANY CHANGES,TIME BRINGS US MANY CHANGES
THE PURPLE TIE WAS TEN YEARS OLD,THE PURPLE TIE WAS TEN YEARS OLD
MEN THINK AND PLAN AND SOMETIMES ACT,MEN THINK AND PLAN AND SOMETIMES ACT
FILL THE INK JAR WITH STICKY GLUE,FEL THE ANK JAR WITH STICKY GLUE
HE SMOKE A BIG PIPE WITH STRONG CONTENTS,HE SMOKE A BIG PIPE WITH STRONG CONTENTS
WE NEED GRAIN TO KEEP OUR MULES HEALTHY,WE NED GRAIN TO KEP OUR MULES HEALTHY
PACK THE RECORDS IN A NEAT THIN CASE,BACK THE RECORDS IN A NEAD THIN CASE
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND,THE CRUNCH OF FET IN THE SNOW WAS THE ONLY SOUND
THE COPPER BOWL SHONE IN THE SUN'S RAYS,THE COPER BOL SHONE IN THE SUN'S RAYS
BOARDS WILL WARP UNLESS KEPT DRY,BOARDS WIL WARM UNLES KEPT DRY
THE PLUSH CHAIR LEANED AGAINST THE WALL,THE PLUSH CHAIR LEANED AGAINST THE WAL
GLASS WILL CLINK WHEN STRUCK BY METAL,GLAS WIL CLINK WHEN STRUCK BY METAL
BATHE AND RELAX IN THE COOL GREEN GRASS,BATHE AND RELAX IN THE COL GREN GRAS
NINE ROWS OF SOLDIERS STOOD IN A LINE,NINE ROWS OF SOLDIERS STOD IN A LINE
THE BEACH IS DRY AND SHALLOW AT LOW TIDE,THE BEACH IS DRY AND SHALOW AT LOW TIDE
THE IDEA IS TO SOW BOTH EDGES STRAIGHT,THE IDEA IS TO SOW BOTH EDGES STRAIGHT
THE KITTEN CHASED THE DOG DOWN THE STREET,THE KITEN CHASED THE DOG DOWN THE STRET
PAGES BOUND IN CLOTH MAKE A BOOK,PAGES BOUND IN CLOTH MAKE BOK
TRY TO TRACE THE FINE LINES OF THE PAINTING,TRY TO TRACE THE FINE LINES OF THE PAINTING
WOMEN FORM LESS THAN HALF OF THE GROUP,WOMEN FORM LES THAN HALF OF THE GROUP
THE ZONES MERGE IN THE CENTRAL PART OF TOWN,BAZONES MERGE IN THE CENTRAL PART OF TOWN
A GEM IN THE ROUGH NEEDS WORK TO POLISH,A GEM IN THE ROUGH NEDS WORK TO POLISH
CODE IS USED WHEN SECRETS ARE SENT,CODE IS USED WHEN SECRETS ARE SENT
MOST OF THE NEWS IS EASY FOR US TO HEAR,MOST OF THE NOSE IS EASY FOR US TO HEAR
HE USED THE LATHE TO MAKE BRASS OBJECTS,HE USED THE LATHE TO MAKE BRAS OBJECTS
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND,THE VENE ON TOP OF THE POLE REVOLVED IN A WIND
MINCE PIE IS A DISH SERVE TO CHILDREN,MINCE PIS THE DISH SERVED TO CHILDREN
THE CLAN GATHERED ON EACH DULL NIGHT,THE CLAN GATHERED ON EACH DUL NIGHT
LET IT BURN,LET IT BURN
IT GIVES US WARMTH AND COMFORT,IT GIVES US WARMTH AND COMFORT
A CASTLE BUILT FROM SAND FAILS TO ENDURE,A CASTLE BUILT FROM SIN FAILS TO ENDURE
A CHILD'S WIT SAVE THE DAY FOR US,A CHILD'S WIT SAVED THE DAY FOR US
TACK THE STRIP OF CARPET TO THE WORN FLOOR,TACK THE STRIP OF CARPET TO THE WORN FLOR
NEXT TUESDAY WE MUST VOTE,NEXT TUESDAY WE MUST VOTE
POUR THE STEW FROM THE POT INTO THE PLATE,POUR THE STEW FROM THE POT INTO THE PLATE
EACH PENNY SHONE LIKE NEW,EACH PENY SHONE LIKE NEW
THE MAN WENT TO THE WOODS TO GATHER STICKS,THE MEN WENT TO THE WODS TO GATHER STICKS
THE DIRT PILES WERE LINES ALONG THE ROAD,THE DIRT PILES WERE LINED ALONG THE ROAD
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM,THE LOGS FEL AND TUMBLED INTO THE CLEAR STREAM
JUST HOIST IT UP AND TAKE IT AWAY,JUST HOIST IT UP AND TAKE IT AWAY
A RIPE PLUM IS FIT FOR A KING'S PALATE,A RIPE PLUM IS FIT FOR A KING'S PALATE
OUR PLANS RIGHT NOW ARE HAZY,OUR PLANS RIGHT NOW ARE HAZY
BRASS RINGS ARE SOLD BY THESE NATIVES,BRAS RINGS ARE SOLD BY THESE NATIVES
IT TAKES A GOOD TRAP TO CAPTURE A BEAR,IT TAKES A GOD TRAP TO CAPTURE A BEAR
FEED THE WHITE MOUSE SOME FLOWER SEEDS,FED THE WHITE MOUSE SOM FLOWER SEDS
THE THAW CAME EARLY AND FREED THE STREAM,THE THAWL CAME EARLY AND FRED THE STREAM
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE,HE TOK THE LEAD AND KEPT IT THE WHOLE DISTANCE
THE KEY YOU DESIGNED WILL FIT THE LOOK,THE KEY YOU DESIGNED WIL FIT THE LOCK
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF,PLEAD TO THE COUNCIL TO FRE THE POR THIEF
BETTER HASH IS MADE OF RARE BEEF,BETER HASH IS MADE OF RARE BEF
THIS PLANK WAS MADE FOR WALKING ON,THIS PLANK WAS MADE FOR WALKING ON
THE LAKE SPARKLED IN THE RED HOT SUN,THE LAKE SPARKLED IN THE RED HOT SUN
HE CRAWLED WITH CARE ALONG THE LEDGE,HE CRAWLED WITH CARE ALONG THE LEDGE
TEND THE SHEEP WHILE THE DOG WANDERS,TAM THE SHEP WHILE THE DOG WANDERS
IT TAKES A LOT OF HELP TO FINISH THESE,IT TAKES A LOT OF HELP TO FINISH THESE
MARK THE SPOT WITH A SIGN PAINTED RED,MARK THE SPOT WITH A SIGN PAINDED DREAD
TAKE TWO SHARES AS A FAIR PROFIT,TAKE TWO SHEARS AS A FAIR PROFIT
THE FUR OF CATS GOES BY MANY NAMES,THE FUR OF CATS GOES BY MANY NAMES
NORTH WINDS BRING COLDS AND FEVERS,NORTH WINDS BRING COLDS AND FEVERS
HE ASKS NO PERSON TO VOUCH FOR HIM,HE ASKS NO PERSON TO VOUCH FOR HIM
GO NOW AND COME HERE LATER,GO NOW AND COME HERE LATER
A SASH OF GOLD SILK WILL TRIM HER DRESS,A SASH OF GOLD SILK QUIL TRIM HER DRES
SOAP CAN WASH MOST DIRT AWAY,SOAP CAN WASH MOST DIRT AWAY
THAT MOVE MEANS THE GAME IS OVER,THAT MOVE MEANS THE GAME IS OVER
HE WROTE DOWN A LONG LIST OF ITEMS,HE WROTE DOWN A LONG LIST OF ITEMS
A SIEGE WILL CRACK THE STRONG DEFENCE,A SIEGE WIL CRACK THE STRONG DEFENCE
GRAPE JUICE AND WATER MIX WELL,GRAPE JUICE AND WATER MIX WEL
ROADS ARE PAVED WITH STICKE TAR,ROADS ARE PAVED WITH STICKY TAR
FAKE STONES SHINE BUT COST LITTLE,FAKE STONES SHINE BUT COST LITLE
THE DRIP OF THE RAIN MADE A PLEASANT SOUND,THE DRIB OF THE RAIN MADE A PLEASANT SOUND
SMOKE POURED OUT OF EVERY CRACK,SMOKE POURED OUT OF EVERY CRACK
SERVE THE HOT RUM TO THE TIRED HEROES,SERVE THE HOT RUM TO THE TIRED HEROES
MUCH OF THIS STORY MAKES GOOD SENSE,MUCH OF THE STORY MAKES GOD SENSE
THE SUN CAME UP TO LIGHT THE EASTERN SKY,THE SUN CAME UP TO LIGHT THE EASTERN SKY
HEAVE THE LINE OVER THE PORT SIDE,HEAVE THE LINE OVER THE PORT SIDE
A LATHE CUTS AND TRIMS ANY WOOD,ALATHE CUTS AND TRIMS THEN HE WOULD
IT'S A DENSE CROWD IN TWO DISTINCT WAYS,IT'S A DEMPS CROWD INTWO DISTINCT WAYS
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER,HIS HIP STRUCK THE KNE OF THE NEXT PLAYER
THE STALE SMELL OF OLD BEER LINGERS,THE STALE SMEL OF THE OLD BER LINGERS
THE DESK WAS FIRM ON THE SHAKY FLOOR,THE DESK WAS FIRM ON THE SHAKY FLOR
IT TAKES HEAT TO BRING OUT THE ODOR,IT TAKES HEAT TO BRING OUT THE ODOR
BEEF IS SCARCER THAN SOME LAMB,BEF IS SCARCER THAN SUME LAMB
RAISE THE SAIL AND STEER THE SHIP NORTHWARD,RAISE THE SAIL AND STER THE SHIP NORTHWARD
A CONE COSTS FIVE CENTS ON MONDAYS,A CON COSTS FIVE CENTS ON MONDAYS
A POD IS WHAT PEAS ALWAYS GROW IN,A POT IS WHAT PEAS ALWAYS GROW IN
JERK THAT DART FROM THE CORK TARGET,JERK THAT DART FROM THE CORK TARGET
NO CEMENT WILL HOLD HARD WOOD,NO CEMENT WIL HOLD HARD WOD
WE NOW HAVE A NEW BASE FOR SHIPPING,WE NOW HAVE A NEW BASE FOR SHIPING
A LIST OF NAMES IS CARVED AROUND THE BASE,A LIST OF NAMES IS CARVED AROUND THER BASE
THE SHEEP WERE LED HOME BY A DOG,THE SHEP WERE LED HOME BY A DOG
THREE FOR A DIME,THRE FOR A DIME
THE YOUNG PEDDLER CRIED,THE YOUNG PEDLER CRIED
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH,THE SENSE OF SMEL IS BETER THAN THAT OF TOUCH
NO HARDSHIP SEEMED TO MAKE HIM SAD,NO HARDSHIPS SEMED TO MAKE HIM SAD
GRACE MAKES UP THE LACK OF BEAUTY,GRACE MAKES UP FOR LACK OF BEAUTY
NODGE GENTLY BUT WAKE HER NOW,NOT GENTLY BUT WAKE HER NOW
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS,THE NEWS STRUCKED OUT INTO RESTLES MINDS
ONCE WE STOOD BESIDE THE SHORE,ONCE WE STOD BESIDE THE SHORE
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW,A CHINK IN THE WAL ALOWED A DRAUGHT TO BLOW
FASTEN TWO PINS ON EACH SIDE,FASTEN TWOPINS ON EACH SIDE
A COLD DIP RESTORES HEALTH AND ZEST.,A COLD DIP RESTORES HEALTH AND ZEST
HE TAKES THE OATH OF OFFICE EACH MARCH,HE TAKES THE OATH OF VALPHUS EACH MARCH
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE,THE SAND DRIFTS OVER THE SILS OF THE OLD HOUSE
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED,THE POINT OF THE STEL PIN WAS BENT AND TWISTED
THERE IS A LAG BETWEEN THOUGHT AND ACT,THERE IS A LAG BETWEN THOUGHT AND ACT
SEED IS NEEDED TO PLANT THE SPRING CORN,SED IS NEDED TO PLANT THE SPRING CORN
DRAW THE CHART WITH HEAVY BLACK LINES,DRAW THE CHART WITH HEAVY BLACK LINES
THE BOY OWED HIS PAL THIRTY CENTS,THE BOY OWED HIS PAL THIRTY CENTS
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST,THE CHAP SLIPED INTO THE CROWD AND WAS LOST
HATS ARE WORN TO TEA AND NOT TO DINNER,HATS ARE WORN TO TEA AND NOT TO DINER
THE RAMP LED UP TO THE WIDE HIGHWAY,THE ROUND PLED UP TO THE WIDE HIGHWAY
BEAT THE DUST FROM THE RUG ONTO THE LAWN,BEAT THE DUST FROM THE RUG ON TO THE LAWN
SAY IT SLOWLY BUT MAKE IT RING CLEAR,SAY IT SLOWLY BUT MAKE IT RING CLEAR
THE STRAW NEST HOUSED FIVE ROBINS,THE STRAW NEST HOUSED FIVE ROBINS
SCREEN THE PORCH WITH WOVEN STRAW MATS,SCREN THE PORCH WITH WOVEN STRAW MATS
THIS HORSE WILL NOSE HIS WAY TO THE FINISH,THIS HORSE WIL NOSE HIS WAY TO THE FINISH
THE DRY WAX PROTECTS THE DEEP SCRATCH,THE DRY WAX PROTECTS THE DEP SCRATCH
HE PICKED UP THE DICE FOR A SECOND ROLL,HE PICKED UP THE DICE FOR A SECOND ROL
THESE COINS WILL BE NEEDED TO PAY HIS DEBT,THESE COINS WIL BE NEDED TO PAY HIS DEBT
THE NAG PULLED THE FRAIL CART ALONG,THE NACK PULED THE FRAIL CARD ALONG
TWIST THE VALVE AND RELEASE HOT STEAM,TWIST THE VALVE AND RELEASE HOT STEAM
THE VAMP OF THE SHOE HAD A GOLD BUCKLE,THE VAMPER OF THE SHEHEADED GOLD BUCKLE
THE SMELL OF BURNED RAGS ITCHES MY NOSE,THE SMEL OF BURNEDRAG ZITCHES MYNOSE
NEW PANTS LACK CUFFS AND POCKETS,NEW PANTS LACK CUFS AND POCKETS
THE MARSH WILL FREEZE WHEN COLD ENOUGH,THE MARSH WIL FREZE WIN COLD ENOUGH
THEY SLICE THE SAUSAGE THIN WITH A KNIFE,THEY SLICE THE SAUSAGE THEN WITH A KNIFE
THE BLOOM OF THE ROSE LASTS A FEW DAYS,THE BLOM OF THE ROSE LASTS A FEW DAYS
A GREY MARE WALKED BEFORE THE COLT,A GREY MARE WALKED BEFORE THE COLT
BREAKFAST BUNS ARE FINE WITH A HOT DRINK,BREAKFAST BUNS ARE FINE WITH A HOT DRINK
BOTTLES HOLD FOUR KINDS OF RUM,BOTLES HOLD FOUR KINDS OF RUM
THE MAN WORE A FEATHER IN HIS FELT HAT,THE MAN WORE A FEATHER IN HIS FELT HAT
HE WHEELED THE BIKE PAST THE WINDING ROAD,HE WHELED THE BIKE PAST THE WINDING ROAD
DROP THE ASHES ON THE WORN OLD RUG,DROP THE ASHES ON THE WORN OLDRAG
THE DESK AND BOTH CHAIRS WERE PAINTED TAN,THE DESK AND BOTH CHAIRS WERE PAINTED DAWN
THROW OUT THE USED PAPER CUP AND PLATE,THROW OUT THE USED PAPER CUP AND PLATE
A CLEAN NECK MEANS A NEAT COLLAR,A CLEAN NECK MEANS A NEAT COLAR
THE COUCH COVER AND HALL DRAPES WERE BLUE,THE COUCH COVER AND HAL DRAPES WERE BLUE
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE,THE STEMS OF THE TAL GLASES CRACKED AND BROKE
THE WALL PHONE RANG LOUD AND OFTEN,THE WALPHONE RING LOUD AND OFTEN
THE CLOTHES DRIED ON A THIN WOODEN RACK,THE CLOTHES DRIED ON A THIN WODEN RACK
TURN OUT THE LANTERN WHICH GIVES US LIGHT,TURN OUT THE LANTERN WHICH GIVES U LIGHT
THE CLEAT SANK DEEPLY INTO THE SOFT TURF,THE CLAT SANK DEPLY INTO THE SOFT TERF
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH,THE BILS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH
TO HAVE IS BETTER THAN TO WAIT AND HOPE,TO HAVE IS BETER THAN TO WAIT AND HOPE
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK,THE PRICES FAIR FOR A GOD ANTIQUE CLOCK
THE MUSIC PLAYED ON WHILE THEY TALKED,THE MUSIC PLAYED ON WHILE THEY TALKED
DISPENSE WITH A VEST ON A DAY LIKE THIS,DISPENSE WITH A VEST ON A DAY LIKE THIS
THE BUNCH OF GRAPES WAS PRESSED INTO WINE,THE BUNCH OF GRAPES WAS PRESED INTO WINE
HE SENT THE FIGS,HE SENT THE FIGS
BUT KEPT THE RIPE CHERRIES,BUT KEPT THE RIPE CHERIES
THE HINGE ON THE DOOR CREAKED WITH OLD AGE,THE HINGE ON THE DOR CREAKED WITH OLD AGE
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS,THE SCREN BEFORE THE FIRE KEPT IN E SPARKS
FLY BY NIGHT AND YOU WASTE LITTLE TIME,FLY BY NIGHT AND YOU WASTE LITLE TIME
THICK GLASSES HELPED HIM READ THE PRINT,THICK GLASES HELP CHAM READ THE PRINT
BIRTH AND DEATH MARKS THE LIMITS OF LIFE,BIRTH AND DEATH MARKS THE LIMITS OF LIFE
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM,THE CHAIR LOKED STRONG BUT HAD NO BOTOM
THE KITE FLEW WILDLY IN THE HIGH WIND,THE KITE FLEW WILDLY IN THE HIGH WIND
A FUR MUFF IS STYLISH ONCE MORE,AFIRM OFISE STYLISH ONCE MORE
THE TIN BOXS HELD PRICELESS STONES,THE TIN BOX HELD PRICELES STONES
WE NEED AN END OF ALL SUCH MATTER,WE NED AN END OF AL SUCH MATER
THE CASE WAS PUZZLING TO THE OLD AND WISE,THE CASE WAS PUZLING TO THE OLD AND WISE
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN,THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN
WE DON'T GET MUCH MONEY BUT WE HAVE FUN,WE DON'T GET MUCH MONEY BUT WE HAVE FUN
THE YOUTH DROVE WITH ZEST,THE YOUTH DROVE WITH ZEST
BUT LITTLE SKILL,BUT LITLE SKL
FIVE YEARS HE LIVED WITH A SHAGGY DOG,FIVE YEARS HE LIVED WITH A SHAGY DOG
A FENCE CUT THROUGH THE CORNER LOT,A FENCE CUTS THROUGH THE CORNER LAT
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH,THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN,SHUT THE HATCH BEFORE THE WAVES PUSH IT IN
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP,THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH,CRACK THE WALNUT WITH YOUR SHARP SET TETH
HE OFFERED PROOF IN THE FORM OF A LARGE CHART,HE OFERED PROF IN THE FORM OF A LARGE CHART
SEND THE STUFF IN A THICK PAPER BAG,SEND THE STUF IN A THICK PAPER BAG
A QUART OF MILK IS WATER FOR THE MOST PART,A QUART OF MILK IS WATER FOR THE MOST PART
THEY TOLD WILD TALES TO FRIGHTEN HIM,THEY TOLD WILD TALES TO FRIGHTEN HIM
THE THREE STORY HOUSE WAS BUILT OF STONE,THE THRE STORY HOUSE WAS BUILT OF STONE
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE,IN THE REAR OF THE GROUND FLOR WAS A LARGE PASAGE
A MAN IN A BLUE SWEATER SAT AT THE DESK,A MAN IN A BLUE SWEATER SAT AT THE DESK
OATS ARE A FOOD EATEN BY HORSE AND MAN,OATS ARE A FOD EATEN BY HORSE AND MAN
THEIR EYELIDS DROOP FOR WANT OF SLEEP,THEIR EYELIDS DROPED FOR WANT OF SLEP
A SIP OF TEA REVIVES HIS TIRED FRIEND,A SIP OF TEA REVIVES HIS TIRED FRIEND
THERE ARE MANY WAYS TO DO THESE THINGS,THERE ARE MANY WAYS TO DO THESE THINGS
TUCK THE SHEET UNDER THE EDGE OF THE MAT,TUCK THE SHET UNDER THE EDGE OF THE MAT
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH,A FORCE EQUAL TO THAT WOULD MOVE THE EARTH
WE LIKE TO SEE CLEAR WEATHER,WE LIKE TO SE CLEAR WEATHER
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE,THE WORK OF THE TAYLOR IS SEN ON EACH SIDE
TAKE A CHANCE AND WIN A CHINA DOLL,TAKE A CHANCE AND WIN A CHINA DOL
SHAKE THE DUST FROM YOUR SHOES,SHAKE THE DUST FROM YOUR SHOES
STRANGER,STRANGER
SHE WAS KIND TO SICK OLD PEOPLE,SHE WAS KIND TO SICK OLD PEOPLE
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED,THE SQUARE WODEN CRATE WAS PACKED TO BE SHIPED
THE DUSTY BENCH STOOD BY THE STONE WALL,THE DUSTHY BENCH THAT STOD BY THE STONE WAL
WE DRESS TO SUIT THE WEATHER OF MOST DAYS,WE DRES TO SUIT THE WEATHER OF MOST DAYS
SMILE WHEN YOU SAY NASTY WORDS,SMILE WHEN YOU SAY NASTY WORDS
A BOWL OF RICE IS FREE WITH CHICKEN STEW,A BOWL OF RICE IS FRE WITH CHICK AND STEW
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH,THE WATER IN THIS WEL IS A SOURCE OF GOD HEALTH
TAKE SHELTER IN THIS TENT,TAKE SHELTER IN THIS TENT
BUT KEEP STILL,BUT KEP STIL
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS,THAT GEIT IS THE WRITER OF A FEW BEND BOKS
THE LITTLE TALES THEY TELL ARE FALSE,THE LITLE TALES THEY TEL ARE FOLS
THE DOOR WAS BARRED,THE DOR WAS BARED
LOOKED,LOCKED
AND BOLTED AS WELL,AND BROUGHT IT AS WEL
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE,RIPE PEARS ARE FIT FOR A QUEN'S TABLE
A BIG WET STAIN WAS ON THE ROUND CARPET,A BIG WET STAIN WAS ON THE ROUND CARPET
THE KITE DIPPED AND SWAYED,THE KITE DIPED AND SWAYED
BUT STAYED ALOFT,BUT STAYED ALOFT
THE PLEASANT HOURS FLY BY MUCH TOO SOON,THE PLEASANT HOURS FLY BY MUCH TO SON
THE ROOM WAS CROWDED WITH A WILD MOB,THE ROM WAS CROWDED WITH A WILD MOB
THIS STRONG ARM SHALL SHIELD YOUR HONOR,THIS STRONG ARM SHAL SHIELD YOUR HONOR
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID,SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID
THE BEETLE DRONED IN THE HOT JUNE SUN,THE BEATLE DRONED IN THE HOT JUNE SUN
PRESS THE PEDAL WITH YOUR LEFT FOOT,BREST THE PEDAL WITH YOUR LEFT FOT
NEAT PLANS FAIL WITHOUT LUCK,NED PLANS FAIL WITHOUT LUCK
THE BLACK TRUNK FELL FROM THE LANDING,THE BLACK TRUNK FEL FROM THE LANDING
THE BANK PRESSED FOR PAYMENT OF THE DEBT,THE BANK PRESED FOR PAYMENT OF THEIR DEBT
THE THEFT OF THE PEARL PIN WAS KEPT SECRET,THE THEFT OF THE PEARL PIN WAS KEPT SECRET
SHAKE HANDS WITH THIS FRIENDLY CHILD,SHAKE HANDS WITH THIS FRIENDLY CHILD
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE,THE VAST SPACE STRETCHED INTO THE FAR DISTANCE
A RICH FARM IS RARE IN THIS SANDY WASTE,A RICH FARM IS RARE IN THIS SANDY WASTE
HIS WIFE GRIN EARNED MANY FRIENDS,HIS WIDE GRANER AND MANY FRIENDS
