transcription,transcription_wav2vec2
TEA SERVED FROM THE BROWN JUG IS TASTY,TEA SERVED FROM THE BROWN JUG IS TASTY
A DASH OF PEPPER SPOILS BEEF STEW,A DASH OF PEPER SPOILS BEF STEW
A ZESTFUL FOOD IS THE HOT CROSS BUN,A ZEST FUL FOD IS THE HARD GROS BUN
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE,THE HORSE TRODEN AROUND THE FIELD AT A BRISK PACE
FIND THE TWIN WHO STOLE THE PEARL NECKLACE,FIND THE TWIN WHO STOLE THE PEARL NECKLACE
CUT THE CORD THAT BINDS THE BOX TIGHTLY,CUT THE CORD THAT BINDS THE BOX TIGHTLY
THE RED TAPE BOUND THE SMUGGLED FOOD,THE RED TAPE BOUND TO SMUGLED FOD
LOOK IN THE CORNER TO FIND THE TAN SHIRT,LOK IN THE CORNER TO FIND THE DAN SHIRT
THE COLD DRIZZLE WILL HALT THE BOND DRIVE,THE COLD DRIZLE WIL HALT THE BOND DRIVE
NINE MEN WERE HIRED TO DIG THE RUINS,NINE MEN WERE HIRED TO DIG THE RUINS
THE JUNKYARD HAD A MOULDY SMELL,THE JUNKURD HAD A MORY SMEL
THE FLINT SPUTTERED AND LIT A PINE TORCH,THE FLINTS BUTERED AND LIT A PINE TORCH
SOAK THE CLOTH AND DROWN THE SHARP ODOUR,SOAK THE CLOTH AND DROWN THE SHARP HUDTER
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS,THE SHELVES WERE WARE OF BOTH JAN WAR CROCKERS
A JOY TO EVERY CHILD IS THE SWAN BOAT,A JOY TO EVERY CHILD IS THE SWAN BOAT
ALL SAT FROZEN AND WATCHED THE SCREEN,AL SET FOZEN AND WATCH THE SCREN
A CLOUD OF DUST STUNG HIS TENDER EYES,A CLOUD OF DUST STUNG HIS TENDER EYES
TO REACH THE END HE NEEDS MUCH COURAGE,TO REACH THE END HE NEDS MUCH COURAGE
SHAPE THE CLAY GENTLY INTO BLOCK FORM,SHAPE THE CLAY GENTLY IN TO BLOCK FORM
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW,A RIGON A SMOTH SURFACE IS A BUMP OR FLAW
HEDGE APPLES MAY STAIN YOUR HANDS GREEN,HADJAPLES MAY STAIN YOUR HANDS GREN
QUENCH YOUR THIRST,QUENCH YOUR THIRST
THEN EAT THE CRACKERS,THEM NED THE CRACKERS
TIGHT CURLS GET LIMP ON RAINY DAYS,TIE CURLS GET LIMP ON RAINY DAYS
THE MUTE MUFFLED THE HIGH TONES OF THE HORN,THE MUTE MUFLED THE HIGH TONES OF THE HORN
THE GOLD RING FITS ONLY A PIERCED EAR,THE GOLD RING FRITZ ONLY APEARS TEAR
THE OLD PAN WAS COVERED WITH HARD FUDGE,THE OLD PAN WAS COVERED WITH HARD FUDGE
WATCH THE LOG FLOAT IN THE WIDE RIVER,WATCH THE LOG FLOAT IN THE WIDE RIVER
THE NOTE ON THIS STALK OF WHEAT GREW DAILY,THE NERT ON THE STALK OF WED GREW DAILY
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE,THE HUPE OF FALEN LEAVES WAS SET ON FIRE
RITE FAST IF YOU WANT TO FINISH EARLY,RIGHT FAST IF YOU WANT TO FINISH EARLY
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE,HIS SHIRT WAS CLEAN BUT ONE BROTEN WAS GONE
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS,THE BAREL OF BEAR WAS A BREW OF MALT AND HOPS
TIN CANS ARE ABSENT FROM STORE SHELVES,TIN CANS ARE ABSENT FROM STORE SHELVES
SLIDE THE BOX INTO THAT EMPTY SPACE,SLIDE THE BOX INTO THAT EMPTY SPACE
THE PLANT GREW LARGE AND GREEN IN THE WINDOW,THE PLANT GREW A LARGE AND GREN IN THE WINDOW
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD,THE BEAM DROPED DOWN ON THE WORKMAN'S HEAD
PINK CLOUDS FLOATED WITH THE BREEZE,PINK CLOUDS FLOATED WITH THE BREZE
SHE DANCED LIKE A SWAN,SHE DANCED LIKE A SWAN
TALL AND GRACEFUL,TAL UNGRACEFUL
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS,THE TUBE WAS BLOWN IN THE TIRE FLAT AND USELES
IT IS LATE MORNING ON THE OLD WALL CLOCK,IT IS LATE MORNING ON THE OLD WAL CLOCK
LET'S ALL JOIN AS WE SING THE LAST CHORUS,LET'S AL JOIN AS WE SING THE LAST CHORUS
THE LAST SWITCH CANNOT BE TURNED OFF,THE LAST SWITCH CANOT BE TURNED OF
THE FIGHT WILL END IN JUST SIX MINUTES,THE FIRE WIL END IN JUST SIX MINUTES
THE STORE WALLS WERE LINED WITH COLORED FROCKS,THE STORE WALS WERE LINED WITH COLORED FROCKS
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS,THE PEACELEAK MEANT TO DISCUS THEIR PLANS
THE RISE TO FAME OF A PERSON TAKES LUCK,THE RICE TO FAME OF A PERSON TAKES LUCK
PAPER IS SCARCE,PAPER IS SCARCE
SO WRITE WITH MUCH CARE,SO RITE WITH MUCH CARE
THE QUICK FOX JUMPED ON THE SLEEPING CAT,THE QUICK FOX JUMPED ON THE SLEPING CAT
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS,THE NOZLE OF THE FIRE HOSE WAS BRIGHT BRAS
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED,SCREW THE ROUND CAP ON AS TIGHT AS NEDED
TIME BRINGS US MANY CHANGES,TIME BRINGS US MANY CHANGES
THE PURPLE TIE WAS TEN YEARS OLD,THE PURPLE TIE WAS TEN YEARS OLD
MEN THINK AND PLAN AND SOMETIMES ACT,MEN THINK AND PLEN AND SOMETIMES ACT
FILL THE INK JAR WITH STICKY GLUE,FILED THE INK JARTLE WITH STICK HE GLUE
HE SMOKE A BIG PIPE WITH STRONG CONTENTS,HE SMOKE A BIG PIPE WITH STRAWN CONTENTS
WE NEED GRAIN TO KEEP OUR MULES HEALTHY,WE NED GRAIN TO KEP OUR MULES HEALTHY
PACK THE RECORDS IN A NEAT THIN CASE,BACK THE RECORDS IN A NEW THIN CASE
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND,THE CRUNCH OF FET AND THE SNOW WAS THE ONLY SOUND
THE COPPER BOWL SHONE IN THE SUN'S RAYS,THE COPERBLE SHONE IN THE SUN'S RAYS
BOARDS WILL WARP UNLESS KEPT DRY,BOARDS WIL WARMPH AN LES KEPT DRY
THE PLUSH CHAIR LEANED AGAINST THE WALL,THE PLUSH CHAIR LEANED AGAINST THE WAL
GLASS WILL CLINK WHEN STRUCK BY METAL,GLAS WIL CLINK WHEN STRUCK BY METALE
BATHE AND RELAX IN THE COOL GREEN GRASS,BATHE AND RELEX IN THEI COL GREN GRAS
NINE ROWS OF SOLDIERS STOOD IN A LINE,NINE ROWS OF SOLDIERS STOD IN A LINE
THE BEACH IS DRY AND SHALLOW AT LOW TIDE,THE BECH IS DRY AND SHALOW AT LOW TIDE
THE IDEA IS TO SOW BOTH EDGES STRAIGHT,THE IDEA IS TO SOW BOTH ADGES STRAIGHT
THE KITTEN CHASED THE DOG DOWN THE STREET,THE KITEN CHASED THE DOG DOWN THE STRET
PAGES BOUND IN CLOTH MAKE A BOOK,PAGES BOUND IN CLOTH MAKE A BOK
TRY TO TRACE THE FINE LINES OF THE PAINTING,TRY TO TRACE THE FINE LINES OF THE PAINTING
WOMEN FORM LESS THAN HALF OF THE GROUP,WOMEN FORM LES THAN HALF OF THE GROUP
THE ZONES MERGE IN THE CENTRAL PART OF TOWN,PAZONES EMERGE IN THE CENTRAL PART OF TOWN
A GEM IN THE ROUGH NEEDS WORK TO POLISH,A GEM IN THE ROUGH NEDS WORK TO POLISH
CODE IS USED WHEN SECRETS ARE SENT,CODE IS USED WHEN SECRETS ARE SENT
MOST OF THE NEWS IS EASY FOR US TO HEAR,MOST OF THE NOS IS EASY FOR US TO HEAR
HE USED THE LATHE TO MAKE BRASS OBJECTS,HE USE THE LATHE TO MAKE BRAS OBJECTS
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND,THE VAIN ON TOP OF THE POLE REVOLVED IN A WIND
MINCE PIE IS A DISH SERVE TO CHILDREN,MINSE BIES THE DISH SERVE TO CHILDREN
THE CLAN GATHERED ON EACH DULL NIGHT,THE CLAM GATHERED ON EACH DUL NIGHT
LET IT BURN,LET IT BURN
IT GIVES US WARMTH AND COMFORT,IT GIVES US WARMTH AND COMFORT
A CASTLE BUILT FROM SAND FAILS TO ENDURE,A CASTLE BUILT FROM SEND FAILS TO ENDURE
A CHILD'S WIT SAVE THE DAY FOR US,A CHILD'S WOULD SAVE THE DAY FOR US
TACK THE STRIP OF CARPET TO THE WORN FLOOR,TACT THE STRIP OF CARPLE TO THE WORN FLOR
NEXT TUESDAY WE MUST VOTE,NEXT TUESDAY WE MUST VOTE
POUR THE STEW FROM THE POT INTO THE PLATE,POUR THE STEW FROM THE POT INTO THE PLATE
EACH PENNY SHONE LIKE NEW,EACH PENY SHONE LIKE NEW
THE MAN WENT TO THE WOODS TO GATHER STICKS,THE MAN WENT TO THE WODS TO GATHER STICKS
THE DIRT PILES WERE LINES ALONG THE ROAD,THE DIRT PILES WERE LINES ALONG THE ROAD
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM,THE LOGS FEL AND TUMBLED INTO THE CLEAR STREAM
JUST HOIST IT UP AND TAKE IT AWAY,JUST HOIST IT UP AND TAKE IT AWAY
A RIPE PLUM IS FIT FOR A KING'S PALATE,ARIVE PLOMIS FIT FOR A KING'S PALATE
OUR PLANS RIGHT NOW ARE HAZY,OUR PLANS RIGHT NOWER HAZY
BRASS RINGS ARE SOLD BY THESE NATIVES,BRAS RINGS ARE SOLD BY THESE NATIVES
IT TAKES A GOOD TRAP TO CAPTURE A BEAR,IT TAKES A GOD TRAP TO CAPTURAL BEAR
FEED THE WHITE MOUSE SOME FLOWER SEEDS,FED THE WHITE MOUSE SOME FLOWER SEDS
THE THAW CAME EARLY AND FREED THE STREAM,THE THAUL CAME EARLY AND FRE THIS DREAM
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE,HE TOK THE LEAD AND KEPT AT THE WHOLE DISTANCE
THE KEY YOU DESIGNED WILL FIT THE LOOK,THE KEY YOU DESIGNED WIL FIT THE LOCK
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF,PLEAD TO THE COUNSEL TO FRE THE POR THIEF
BETTER HASH IS MADE OF RARE BEEF,BETER HASH IS MADE OF RARE BEF
THIS PLANK WAS MADE FOR WALKING ON,THIS PLANK WAS MADE FOR WALKING ON
THE LAKE SPARKLED IN THE RED HOT SUN,THE LAGS SPARKLED IN THE RED HOT SUN
HE CRAWLED WITH CARE ALONG THE LEDGE,HE CRAWLED WITH CARE ALONG THE LEDGE
TEND THE SHEEP WHILE THE DOG WANDERS,TIN THE SHEP WHILE THE DOG WANDERS
IT TAKES A LOT OF HELP TO FINISH THESE,IT TAKES A LOT OF HELP TO FINISH THESE
MARK THE SPOT WITH A SIGN PAINTED RED,MARK THE SPOT WITH A SIGN PAINT O DREAD
TAKE TWO SHARES AS A FAIR PROFIT,TAKE TWO SHARES AS A FAIR PROPHET
THE FUR OF CATS GOES BY MANY NAMES,THE FUR OF CATS GOES BY MANY NAMES
NORTH WINDS BRING COLDS AND FEVERS,NORTH WINDS BRING COLDS AND FEVERS
HE ASKS NO PERSON TO VOUCH FOR HIM,HE ASKS NO PERSON TO VOUCH FOR HIM
GO NOW AND COME HERE LATER,GO NOW AND COME HERE LATER
A SASH OF GOLD SILK WILL TRIM HER DRESS,A SASH OF GOLD SILK WIL TRIM HER DRES
SOAP CAN WASH MOST DIRT AWAY,SOAP AN WASHMOST JIRT AWAY
THAT MOVE MEANS THE GAME IS OVER,THAD MOVE MEANS THE GAME IS OVER
HE WROTE DOWN A LONG LIST OF ITEMS,HE WROTE DOWN A LONG LIST OF ITEMS
A SIEGE WILL CRACK THE STRONG DEFENCE,A SUGE WIL CRACK THE STRONG DEFENCE
GRAPE JUICE AND WATER MIX WELL,GRAVE JUICE AND WATER MIX WEL
ROADS ARE PAVED WITH STICKE TAR,ROADS ARE PAVED WITH STICK E TOWER
FAKE STONES SHINE BUT COST LITTLE,FAKUE STONES SHINE BUT COST LITLE
THE DRIP OF THE RAIN MADE A PLEASANT SOUND,THE DRIP OF THE RAIN MADE A PLEASANT SOUND
SMOKE POURED OUT OF EVERY CRACK,SMOKE POURED OUT OF EVERY CRACK
SERVE THE HOT RUM TO THE TIRED HEROES,SERVE THE HOT RUM TO THE TIRED HEROES
MUCH OF THIS STORY MAKES GOOD SENSE,MUCH OF THE STORY MAKES GOD SENSE
THE SUN CAME UP TO LIGHT THE EASTERN SKY,THE SUN CAME UP TO LIGHT THE EASTERN SKY
HEAVE THE LINE OVER THE PORT SIDE,HEAVE THE LINE OVER THE PORT SIDE
A LATHE CUTS AND TRIMS ANY WOOD,A LATHE CUTS AND TRIMS THAN HE WOULD
IT'S A DENSE CROWD IN TWO DISTINCT WAYS,ITS EDEMPS CROWD IN TO DISTINCT WAYS
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER,HIS HIP STRUCK THE KNEW OF THE NEXT PLAYER
THE STALE SMELL OF OLD BEER LINGERS,THE STALE SMEL OF THE OLD BEAR LINGERS
THE DESK WAS FIRM ON THE SHAKY FLOOR,THE DUSK WAS FIRM ON THE SHAKY FLOR
IT TAKES HEAT TO BRING OUT THE ODOR,IT TAKES HEAT TO BRING OUT THE UTER
BEEF IS SCARCER THAN SOME LAMB,BEF IS SCARCER THAN SOME LAMB
RAISE THE SAIL AND STEER THE SHIP NORTHWARD,RAISE THE SAIL AND TER THE SHIP NORTHWARD
A CONE COSTS FIVE CENTS ON MONDAYS,A CONE COSTS FIVE CENTS ON MONDAYS
A POD IS WHAT PEAS ALWAYS GROW IN,A PART IS WHAT PEAS ALWAYS GROW IN
JERK THAT DART FROM THE CORK TARGET,JERK THAT DART FROM THE CORK TARGET
NO CEMENT WILL HOLD HARD WOOD,NO CEMENT WIL HOLD HARD WOD
WE NOW HAVE A NEW BASE FOR SHIPPING,WE NOW HAVE A NEW BASE FOR SHIPING
A LIST OF NAMES IS CARVED AROUND THE BASE,A LIST OF NAMES IS CARVED AROUND THE BASE
THE SHEEP WERE LED HOME BY A DOG,THE SHEP WERE LED HOME BY A DOG
THREE FOR A DIME,THRE FOR A TIME
THE YOUNG PEDDLER CRIED,THE YOUNG PEDLER CRIED
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH,THE SENSE OF SMEL IS BETER THAN THAT OF TUNCH
NO HARDSHIP SEEMED TO MAKE HIM SAD,NO HARDSHIP SEMED TO MAKE HIM SAD
GRACE MAKES UP THE LACK OF BEAUTY,GRACE MAKES UP FOR LACK OF BEAUTY
NODGE GENTLY BUT WAKE HER NOW,NUG GENTLY BUT WAK CUR NOW
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS,THE NEWS STRUCKED OUT INTO RESTLES MINDS
ONCE WE STOOD BESIDE THE SHORE,ONE SWIVE STOD BESIDE THE SHORE
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW,A CHINK IN THE WAL ALOWED IT DRAUGHT TO BLOW
FASTEN TWO PINS ON EACH SIDE,FASTENED TWOPENCE ON EACH SIDE
A COLD DIP RESTORES HEALTH AND ZEST.,A COLD DEP RESTORES HEALTH AND ZEST
HE TAKES THE OATH OF OFFICE EACH MARCH,HE TAKES THE OATH OF VALPHIS EACH MARCH
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE,THE SAND DRIFTS OVER THE SILS OF THE OLD HOUSE
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED,THE POINT OF THE STEL PIN WAS BENT AND TWISTED
THERE IS A LAG BETWEEN THOUGHT AND ACT,THERE IS A LAG BETWEN THOUGHT AND ACT
SEED IS NEEDED TO PLANT THE SPRING CORN,SED IS NEDED TO PLANT THIS SPRING CORN
DRAW THE CHART WITH HEAVY BLACK LINES,DRAW THE CHART WITH HEAVY BLACK LINES
THE BOY OWED HIS PAL THIRTY CENTS,THE BOY OWED HIS POW THIRTY CENTS
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST,THE CHAP SLIPED INTO THE CROWD AND WAS LOST
HATS ARE WORN TO TEA AND NOT TO DINNER,HATS ARE WORN TO TEA AND NOT TO DINER
THE RAMP LED UP TO THE WIDE HIGHWAY,THE ROUND PLUD UP TO THE WIDE HIGHWAY
BEAT THE DUST FROM THE RUG ONTO THE LAWN,BEAT THE DUST FROM THE RUG ONTO THE LAWN
SAY IT SLOWLY BUT MAKE IT RING CLEAR,SAY IT SLOWLY BUT MAKE IT RING CLEAR
THE STRAW NEST HOUSED FIVE ROBINS,THI SDRAW NAST HOUSED FIVE ROBINS
SCREEN THE PORCH WITH WOVEN STRAW MATS,SCREN THE PORCH WITH WOVEN STRAW MATS
THIS HORSE WILL NOSE HIS WAY TO THE FINISH,THIS HORSE WIL KNOWS HIS WAY TO THE FINISH
THE DRY WAX PROTECTS THE DEEP SCRATCH,THE DRY WAX PROTECTS THE DEP SCRATCH
HE PICKED UP THE DICE FOR A SECOND ROLL,HE PICKED UP THE DICE FOR A SECOND ROL
THESE COINS WILL BE NEEDED TO PAY HIS DEBT,THESE COINS WIL BE NEDED TO PAY HIS DEBT
THE NAG PULLED THE FRAIL CART ALONG,THE KNACK PULED THE FRAIL CARD ALONG
TWIST THE VALVE AND RELEASE HOT STEAM,TWIST THE VAVE AND RELEASE HEART STEAM
THE VAMP OF THE SHOE HAD A GOLD BUCKLE,THE VAMP OF THE SHOEHITED GOLD BARGEL
THE SMELL OF BURNED RAGS ITCHES MY NOSE,THE SMEL OF BURNDRAG ZICH'S MINOSE
NEW PANTS LACK CUFFS AND POCKETS,NEW PANS LACK CUFS AND POCKETS
THE MARSH WILL FREEZE WHEN COLD ENOUGH,THE MARSH WIL FREZE WIN COLD ENOUGH
THEY SLICE THE SAUSAGE THIN WITH A KNIFE,THEY SLICES THE SAUSAGE THIN WITH A KNIFE
THE BLOOM OF THE ROSE LASTS A FEW DAYS,THE BLOM OF THE ROSE LASTS A FEW DAYS
A GREY MARE WALKED BEFORE THE COLT,A GRAYMARE WALKED BEFORE THE COLD
BREAKFAST BUNS ARE FINE WITH A HOT DRINK,BREAKFAST BUNS ARE FINE WITH A HOT DRINK
BOTTLES HOLD FOUR KINDS OF RUM,BOTLES HOLD FOUR KINDS OF RUM
THE MAN WORE A FEATHER IN HIS FELT HAT,THE MAN WORE A FEATHER IN HIS FELT HAT
HE WHEELED THE BIKE PAST THE WINDING ROAD,HE WIL THE BIKE PAS THE WINDING ROAD
DROP THE ASHES ON THE WORN OLD RUG,DROP THE ASHES ON THE WORN OLDROG
THE DESK AND BOTH CHAIRS WERE PAINTED TAN,THE DISK AND BOTH CHAIRS WERE PAINTED DAN
THROW OUT THE USED PAPER CUP AND PLATE,THROW OUT THE USEPAPER CUP AND PLATE
A CLEAN NECK MEANS A NEAT COLLAR,A CLEAN NECK MEANS A NEAT COLAR
THE COUCH COVER AND HALL DRAPES WERE BLUE,THE COUCH GOVER AND HAUL DRAPES WERE BLUE
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE,THE STEMS OF THE TAL GLASES CRACKED AND BROKE
THE WALL PHONE RANG LOUD AND OFTEN,THE WAL PHONE RANG LOUD AND OFTEN
THE CLOTHES DRIED ON A THIN WOODEN RACK,THE CLOTHES DRIDE ON A THIN WODEN RACK
TURN OUT THE LANTERN WHICH GIVES US LIGHT,TURNED OUT THE LANTERN WHICH GIVES US LIGHT
THE CLEAT SANK DEEPLY INTO THE SOFT TURF,THE CLEAN SANK DEPLY INTO THE SOFT DERF
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH,THE BILS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH
TO HAVE IS BETTER THAN TO WAIT AND HOPE,TO HEV IS BETER THAN TO WAIT IN HOPE
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK,THE PRICEIS FARE FOR A GOD ANTIQUE CLOCK
THE MUSIC PLAYED ON WHILE THEY TALKED,THE MUSIC PLAYED ON WHILE THEY TALKED
DISPENSE WITH A VEST ON A DAY LIKE THIS,DESPENS WITH A VEST ON A DAY LIKE THIS
THE BUNCH OF GRAPES WAS PRESSED INTO WINE,THE BUNCH OF GRAPES WAS PRESED INTO WINE
HE SENT THE FIGS,HE SENT THE FEGS
BUT KEPT THE RIPE CHERRIES,BUT KEPT THE RIBE CHERIES
THE HINGE ON THE DOOR CREAKED WITH OLD AGE,THE HINGE ON THE DOR CREAKED WITH THE OLD AGE
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS,THE SCREN BEFORE THE FIRE KEPT IN THE SPARKS
FLY BY NIGHT AND YOU WASTE LITTLE TIME,FLY BY NIGHT AND YOU WASTE A LITLE TIME
THICK GLASSES HELPED HIM READ THE PRINT,THE GLASES HELPCHAM READ THE PRINT
BIRTH AND DEATH MARKS THE LIMITS OF LIFE,BIRTH AND DEATH MARKS THE LIMITS OF LIFE
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM,THE CHAIR LOKED STRONG BUT HAD NO BOTOM
THE KITE FLEW WILDLY IN THE HIGH WIND,THE KITE FLEW WILDLY IN THE HIGH WIND
A FUR MUFF IS STYLISH ONCE MORE,AFIRMUF IS STYLISH ONCE MORE
THE TIN BOXS HELD PRICELESS STONES,THE TIN BOX HELD PRICELES STONES
WE NEED AN END OF ALL SUCH MATTER,WE NED AN END OF AL SUCH MATER
THE CASE WAS PUZZLING TO THE OLD AND WISE,THE CASE WAS PUZLING TO THE OLD AND WISE
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN,THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN
WE DON'T GET MUCH MONEY BUT WE HAVE FUN,WE DON'T GET MUCH MONEY BUT WE HAVE FUN
THE YOUTH DROVE WITH ZEST,THE YOUTH DROVE WITH ZEST
BUT LITTLE SKILL,BUT LITLE SKIL
FIVE YEARS HE LIVED WITH A SHAGGY DOG,FIVE YEARS HE LIVED WITH A SHAGY DOG
A FENCE CUT THROUGH THE CORNER LOT,A FENCE CUTS THROUGH THE CORNER LANT
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH,THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN,SHUT THE HATCH BEFORE THE WAVES PRUSH IT IN
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP,THE ODOUR OF SPRING MAKES YOUNG HARDS JUMP
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH,CRACK THE WALNUT WITH YOUR SHARP SIDE TETH
HE OFFERED PROOF IN THE FORM OF A LARGE CHART,HE OFERED PROF IN THE FORM OF A LARGE CHART
SEND THE STUFF IN A THICK PAPER BAG,SEND THE STUF IN A THICK PAPER BAG
A QUART OF MILK IS WATER FOR THE MOST PART,A QUART OF MILK IS WATER FOR THE MOST PART
THEY TOLD WILD TALES TO FRIGHTEN HIM,THEY TOLD WILD TALES TO FRIGHTEN HIM
THE THREE STORY HOUSE WAS BUILT OF STONE,THE THRE STORY HOUSE WAS BUILT OF STONE
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE,IN THE REAR OF THE GROUND FLOR WAS A LARGE PASAGE
A MAN IN A BLUE SWEATER SAT AT THE DESK,A MAN IN A BLUE SWEATER SAT AT THE DESK
OATS ARE A FOOD EATEN BY HORSE AND MAN,OATS ARE A FOD EATEN BY HORSE AND MAN
THEIR EYELIDS DROOP FOR WANT OF SLEEP,THEIR EYE LIDS DROP FOR WANT OF SLEP
A SIP OF TEA REVIVES HIS TIRED FRIEND,A SIP OF TEA REVIVES HIS TIRED FRIEND
THERE ARE MANY WAYS TO DO THESE THINGS,THERE ARE MANY WAYS TO DO THESE THINGS
TUCK THE SHEET UNDER THE EDGE OF THE MAT,TACK THE SHET UNDER THE EDGE OF THE MAT
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH,A FORCE EQUAL TO THAT WOULD MOVE THE EARTH
WE LIKE TO SEE CLEAR WEATHER,WE LIKE TO SE CLEAR A WEATHER
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE,THE WORK OF THE TAILOR IS SEN ON EACH SIDE
TAKE A CHANCE AND WIN A CHINA DOLL,TAKE A CHANCE AND WIN A CHINA DOL
SHAKE THE DUST FROM YOUR SHOES,SHAKE THE DUST FROM YOUR SHOES
STRANGER,STRANGER
SHE WAS KIND TO SICK OLD PEOPLE,SHE WAS KIND TO SICK OLD PEOPLE
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED,THE SQUARE WODEN QUAINT WAS PACKED TO BE SHIPED
THE DUSTY BENCH STOOD BY THE STONE WALL,THE DUSTY BENCH THAT STOD BY THE STONE WAL
WE DRESS TO SUIT THE WEATHER OF MOST DAYS,WE DRES TO SUIT THE WEATHER OF MOST DAYS
SMILE WHEN YOU SAY NASTY WORDS,SMILE WHEN YOU SAY NASTY WORDS
A BOWL OF RICE IS FREE WITH CHICKEN STEW,A BOWL OF RICE IS FRE WITH CHICKEN STEW
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH,THE WATER IN THIS WEL IS A SOURCE OF GOD HEALTH
TAKE SHELTER IN THIS TENT,TAKE SHELTER AND THIS TENT
BUT KEEP STILL,BUT KEP STIL
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS,THAT GEITE IS THE WRITER OF A FEW BEND BOKS
THE LITTLE TALES THEY TELL ARE FALSE,THE LITLE TALES THEY TEL ARE FOUALS
THE DOOR WAS BARRED,THE DORA WAS BARED
LOOKED,LOCKED
AND BOLTED AS WELL,AND BOLTED AS WEL
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE,RIBE PEARS ARE FIT FOR A QUEN'S TABLE
A BIG WET STAIN WAS ON THE ROUND CARPET,A BIG WET STAYING WAS ON THE ROUND CARPET
THE KITE DIPPED AND SWAYED,THE KITE DIPED AND SWAYED
BUT STAYED ALOFT,BUT STAYED ALOFT
THE PLEASANT HOURS FLY BY MUCH TOO SOON,THE PLEASANT TOWERS FLY BY MUCH TO SON
THE ROOM WAS CROWDED WITH A WILD MOB,THE ROM WAS CROWDED WITH A WILD MOB
THIS STRONG ARM SHALL SHIELD YOUR HONOR,THIS STRONG ARM SHAL SHIELDER ONOR
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID,SHE BLUSHED WHEN HE GAVE HER A WHITE ORCID
THE BEETLE DRONED IN THE HOT JUNE SUN,THE BEDLE DRONED IN THE HOT JUNE SUN
PRESS THE PEDAL WITH YOUR LEFT FOOT,BREAST THE PEDAL WITH YOUR LEFT FOT
NEAT PLANS FAIL WITHOUT LUCK,NED PLANS FEL WITHOUT LUCK
THE BLACK TRUNK FELL FROM THE LANDING,THE BLACK TRUNK FEL FROM THE LANDING
THE BANK PRESSED FOR PAYMENT OF THE DEBT,THE BANK BREAST FOR PAYMENT OF THE DEBT
THE THEFT OF THE PEARL PIN WAS KEPT SECRET,THE THEFT OF THE PEARL PIN WAS KEPT SECRET
SHAKE HANDS WITH THIS FRIENDLY CHILD,SHAKE HANDS WITH THIS FRIENDLY CHILD
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE,THE VAST SPACE STRETCHED INTO THE FAR DISTANCE
A RICH FARM IS RARE IN THIS SANDY WASTE,A RICH FARM IS RARE IN THIS SANDY WASTE
HIS WIFE GRIN EARNED MANY FRIENDS,HIS WIDE GRAND EARN MANY FRIENDS
