transcription,transcription_whisper_base
A GEM IN THE ROUGH NEEDS WORK TO POLISH, A gym in the rough needs work to polish.
CODE IS USED WHEN SECRETS ARE SENT, Code is used when secrets are sent.
MOST OF THE NEWS IS EASY FOR US TO HEAR, Most of the news is easy for us to hear.
HE USED THE LATHE TO MAKE BRASS OBJECTS, He used the lathe to make brass objects.
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND, The vein on top of the pole revolved in the wind.
MINCE PIE IS A DISH SERVE TO CHILDREN, mince by is the dish served to children
THE CLAN GATHERED ON EACH DULL NIGHT, The clan gathered on each dull night.
LET IT BURN, Let it burn.
IT GIVES US WARMTH AND COMFORT, It gives us warmth and comfort.
A CASTLE BUILT FROM SAND FAILS TO ENDURE, A castle built from sandfails to endure.
A CHILD'S WIT SAVE THE DAY FOR US, A child would save the day for us.
TACK THE STRIP OF CARPET TO THE WORN FLOOR, tack the strip of carp up to the worn floor
NEXT TUESDAY WE MUST VOTE, next Tuesday we must vote
POUR THE STEW FROM THE POT INTO THE PLATE, Pour the stew from the pot into the plate.
EACH PENNY SHONE LIKE NEW, Each penny shown like new.
THE MAN WENT TO THE WOODS TO GATHER STICKS, The man went to the woods to gather sticks.
THE DIRT PILES WERE LINES ALONG THE ROAD, The dirt piles were lines along the road.
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM, The logs fell and tumbled into the clear stream.
JUST HOIST IT UP AND TAKE IT AWAY, Just hoist it up and take it away.
A RIPE PLUM IS FIT FOR A KING'S PALATE, A ripe plum is fit for a king's palate.
OUR PLANS RIGHT NOW ARE HAZY, Our plans right now are hazy.
BRASS RINGS ARE SOLD BY THESE NATIVES, Brass rings are sold by these natives.
IT TAKES A GOOD TRAP TO CAPTURE A BEAR, It takes a good trap to capture a bear.
FEED THE WHITE MOUSE SOME FLOWER SEEDS, Feed the white mouse some flower seeds.
THE THAW CAME EARLY AND FREED THE STREAM, Bethal came early and freed this dream.
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE, He took the lead and kept it the whole distance.
THE KEY YOU DESIGNED WILL FIT THE LOOK, The QU design will fit the lock.
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF, Plead to the council to free the poor thief.
BETTER HASH IS MADE OF RARE BEEF, Better hash is made of rare beef.
THIS PLANK WAS MADE FOR WALKING ON, This plank was made for walking on.
THE LAKE SPARKLED IN THE RED HOT SUN, The lake sparkled in the red hot sun.
HE CRAWLED WITH CARE ALONG THE LEDGE, He crawled with care along the ledge.
TEND THE SHEEP WHILE THE DOG WANDERS, Tint the sheep while the dog wanders.
IT TAKES A LOT OF HELP TO FINISH THESE, It takes a lot of help to finish these.
MARK THE SPOT WITH A SIGN PAINTED RED, Mark the spot with a sign painted red.
TAKE TWO SHARES AS A FAIR PROFIT, Take two shares as a fair profit.
THE FUR OF CATS GOES BY MANY NAMES, The Fru-of-Cats goes by many names.
NORTH WINDS BRING COLDS AND FEVERS, North winds bring colds and fevers.
HE ASKS NO PERSON TO VOUCH FOR HIM, He asks no person to vouch for him.
GO NOW AND COME HERE LATER, Go now and come here later.
A SASH OF GOLD SILK WILL TRIM HER DRESS, A sash of gold silk will trim her dress.
SOAP CAN WASH MOST DIRT AWAY, Soak in wash most dirt away.
THAT MOVE MEANS THE GAME IS OVER, God move means the game is over.
HE WROTE DOWN A LONG LIST OF ITEMS, He wrote down a long list of items.
A SIEGE WILL CRACK THE STRONG DEFENCE, A siege will crack the strong defense.
GRAPE JUICE AND WATER MIX WELL, grape juice and water mix well
ROADS ARE PAVED WITH STICKE TAR, Roads are paved with sticky tar.
FAKE STONES SHINE BUT COST LITTLE, fake stones shine with cast little
THE DRIP OF THE RAIN MADE A PLEASANT SOUND, The drip of the rain made a pleasant sound.
SMOKE POURED OUT OF EVERY CRACK, Smoke pour down of every crack.
SERVE THE HOT RUM TO THE TIRED HEROES, Serve the hot rom to the tired heroes.
MUCH OF THIS STORY MAKES GOOD SENSE, Much of the story makes good sense.
THE SUN CAME UP TO LIGHT THE EASTERN SKY, The sun came up to light the eastern sky.
HEAVE THE LINE OVER THE PORT SIDE, Heave the line over the port side.
A LATHE CUTS AND TRIMS ANY WOOD, A lathe cuts and trims then he would.
IT'S A DENSE CROWD IN TWO DISTINCT WAYS, It's a dense crowd in two distinct ways.
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER, His hips struck the knee of the next player.
THE STALE SMELL OF OLD BEER LINGERS, The stale smell of old beer lingers.
THE DESK WAS FIRM ON THE SHAKY FLOOR, The desk was firm on the shaky floor.
IT TAKES HEAT TO BRING OUT THE ODOR, It takes heat to bring out the other.
BEEF IS SCARCER THAN SOME LAMB, Be fissure than some lamb.
RAISE THE SAIL AND STEER THE SHIP NORTHWARD, Raise the sail and steer the ship northward.
A CONE COSTS FIVE CENTS ON MONDAYS, Acon costs five cents on Mondays.
A POD IS WHAT PEAS ALWAYS GROW IN, A pod is what he's always growing.
JERK THAT DART FROM THE CORK TARGET, jerk that dart from the quirk target
NO CEMENT WILL HOLD HARD WOOD, No cement will hold hard wood.
WE NOW HAVE A NEW BASE FOR SHIPPING, We now have a new base for shipping.
A LIST OF NAMES IS CARVED AROUND THE BASE, A list of names is carved around the base.
THE SHEEP WERE LED HOME BY A DOG, The sheep were let home by a dog.
THREE FOR A DIME, 3 for a dime
THE YOUNG PEDDLER CRIED, The young peddler cried.
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH, The sense of smell is better than that of touch.
NO HARDSHIP SEEMED TO MAKE HIM SAD, No hardships seem to make him sad.
GRACE MAKES UP THE LACK OF BEAUTY, Grace makes up for lack of beauty.
NODGE GENTLY BUT WAKE HER NOW, Nurtently but wake her now.
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS, The new struck doubt into restless minds.
ONCE WE STOOD BESIDE THE SHORE, Once we stood beside the shore
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW, A chink in the wall allowed a draft to blow.
FASTEN TWO PINS ON EACH SIDE, Fasten two pins on each side.
A COLD DIP RESTORES HEALTH AND ZEST., A call-dead prestors health and zest.
HE TAKES THE OATH OF OFFICE EACH MARCH, He takes the oath of office each March.
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE, The sand drifts over the sills of the old house.
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED, The point of the steel pin was bent and twisted.
THERE IS A LAG BETWEEN THOUGHT AND ACT, There is a lag between thought and act.
SEED IS NEEDED TO PLANT THE SPRING CORN, Seed is needed to plant the spring corn.
DRAW THE CHART WITH HEAVY BLACK LINES, Draw the chart with heavy black lines.
THE BOY OWED HIS PAL THIRTY CENTS, The boy owed his pal 30 cents.
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST, The chap slipped into the crowd and was lost.
HATS ARE WORN TO TEA AND NOT TO DINNER, Hats are worn to tea and not to dinner.
THE RAMP LED UP TO THE WIDE HIGHWAY, around pletop to the wide highway.
BEAT THE DUST FROM THE RUG ONTO THE LAWN, Beat the dust from the reg onto the lawn.
SAY IT SLOWLY BUT MAKE IT RING CLEAR, Say it slowly but make it ring clear.
THE STRAW NEST HOUSED FIVE ROBINS, the strong-assed house 5 robins.
SCREEN THE PORCH WITH WOVEN STRAW MATS, Screen the porch with woven straw mats.
THIS HORSE WILL NOSE HIS WAY TO THE FINISH, This horse will nose his way to the finish.
THE DRY WAX PROTECTS THE DEEP SCRATCH, The dry wax protects the deep scratch.
HE PICKED UP THE DICE FOR A SECOND ROLL, He picked up the dice for a second roll.
THESE COINS WILL BE NEEDED TO PAY HIS DEBT, These coins will be needed to pay his debt.
THE NAG PULLED THE FRAIL CART ALONG, The neck pulled the frail card along.
TWIST THE VALVE AND RELEASE HOT STEAM, Twist the valve and release hot steam.
THE VAMP OF THE SHOE HAD A GOLD BUCKLE, The vamp of the shoe had a cold buckle.
THE SMELL OF BURNED RAGS ITCHES MY NOSE, The smell of burned rag zitches my nose.
NEW PANTS LACK CUFFS AND POCKETS," New pants, slack cuffs and pockets."
THE MARSH WILL FREEZE WHEN COLD ENOUGH, The marsh will freeze wind cold enough.
THEY SLICE THE SAUSAGE THIN WITH A KNIFE, Baselize the sausage then with a knife.
THE BLOOM OF THE ROSE LASTS A FEW DAYS, The bloom of the rose lasts a few days.
A GREY MARE WALKED BEFORE THE COLT, A grey mare walked before the cold.
BREAKFAST BUNS ARE FINE WITH A HOT DRINK, Breakfast buns are fine with a hot drink.
BOTTLES HOLD FOUR KINDS OF RUM, Bottles hold four kinds of rum.
THE MAN WORE A FEATHER IN HIS FELT HAT, The man wore a feather in his felt hat.
HE WHEELED THE BIKE PAST THE WINDING ROAD, He will the bike pass the winding road.
DROP THE ASHES ON THE WORN OLD RUG, Drop the ashes on the worn old rug.
THE DESK AND BOTH CHAIRS WERE PAINTED TAN, The desk and both chairs were painted down.
THROW OUT THE USED PAPER CUP AND PLATE," Throw out the used paper, cup and plate."
A CLEAN NECK MEANS A NEAT COLLAR, A clean neck means a neat collar.
THE COUCH COVER AND HALL DRAPES WERE BLUE, The couch cover and haul drapes were blue.
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE, The stems of the tall glasses cracked and broke.
THE WALL PHONE RANG LOUD AND OFTEN, The wall phone rang loud and often.
THE CLOTHES DRIED ON A THIN WOODEN RACK, The clothes dried on a thin wooden rack.
TURN OUT THE LANTERN WHICH GIVES US LIGHT, Turn out the lantern which gives us light.
THE CLEAT SANK DEEPLY INTO THE SOFT TURF, The clean sink deeply into the soft turf.
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH, The bills were mailed promptly on the 10th of the month.
TO HAVE IS BETTER THAN TO WAIT AND HOPE, To have is better than to wait in hope.
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK, The prices fare for a good antique clock.
THE MUSIC PLAYED ON WHILE THEY TALKED, The music played on while they talked.
DISPENSE WITH A VEST ON A DAY LIKE THIS, Dispense with a vest on a day like this.
THE BUNCH OF GRAPES WAS PRESSED INTO WINE, The bunch of grapes was pressed into wine.
HE SENT THE FIGS, He sent the figs.
BUT KEPT THE RIPE CHERRIES, But kept the ripe cherries.
THE HINGE ON THE DOOR CREAKED WITH OLD AGE, The hinge on the door creaked with old age.
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS, The screen before the fire kept in this sparks.
FLY BY NIGHT AND YOU WASTE LITTLE TIME, Fly by night and you waste a little time.
THICK GLASSES HELPED HIM READ THE PRINT, The glasses help Tim read the print.
BIRTH AND DEATH MARKS THE LIMITS OF LIFE, Birth and death marks the limits of life.
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM, The chair looked strong but had no bottom.
THE KITE FLEW WILDLY IN THE HIGH WIND, The kite flew wildly in the high wind.
A FUR MUFF IS STYLISH ONCE MORE, A firm of his stylish once more.
THE TIN BOXS HELD PRICELESS STONES, The tin box held priceless stones.
WE NEED AN END OF ALL SUCH MATTER, We need an end of all such matter.
THE CASE WAS PUZZLING TO THE OLD AND WISE, The case was puzzling to the old and wise.
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN, The bright lanterns were gay on the dark lawn.
WE DON'T GET MUCH MONEY BUT WE HAVE FUN, We don't get much money but we have fun.
THE YOUTH DROVE WITH ZEST, The youth drove with zest.
BUT LITTLE SKILL, But little skill.
FIVE YEARS HE LIVED WITH A SHAGGY DOG, Five years he lived with a shaggy dog.
A FENCE CUT THROUGH THE CORNER LOT, A fence cuts through the corner launt.
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH, The way to save money is not to spend much.
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN, Shut the hatch before the waves push it in.
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP, The odor of spring makes young hearts jump.
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH, Crack the walnut with your sharp side teeth.
HE OFFERED PROOF IN THE FORM OF A LARGE CHART, He offered proof in the form of a large chart.
SEND THE STUFF IN A THICK PAPER BAG, Send the stuff in a thick paper bag.
A QUART OF MILK IS WATER FOR THE MOST PART, A quart of milk is water for the most part.
THEY TOLD WILD TALES TO FRIGHTEN HIM, They told wild tales to frighten him.
THE THREE STORY HOUSE WAS BUILT OF STONE, The Three Storyhouse was built of stone.
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE, In the rear of the ground floor was a large passage.
A MAN IN A BLUE SWEATER SAT AT THE DESK, A man in a blue sweater sat at the desk.
OATS ARE A FOOD EATEN BY HORSE AND MAN, Oats are a food eaten by horse and man.
THEIR EYELIDS DROOP FOR WANT OF SLEEP, Their eyelids droop for one of sleep.
A SIP OF TEA REVIVES HIS TIRED FRIEND, A sip of tea revives his tired friend.
THERE ARE MANY WAYS TO DO THESE THINGS, There are many ways to do these things.
TUCK THE SHEET UNDER THE EDGE OF THE MAT, Tuck the sheet under the edge of the mat.
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH, A force equal to that would move the earth.
WE LIKE TO SEE CLEAR WEATHER, We like to see clear weather.
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE, The work of the tailor is seen on each side.
TAKE A CHANCE AND WIN A CHINA DOLL, Take a chance and win a Chinatowal.
SHAKE THE DUST FROM YOUR SHOES, Shake the dust from your shoes.
STRANGER, Stranger
SHE WAS KIND TO SICK OLD PEOPLE, She was kind to sick old people.
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED, The square wooden crate was packed to be shipped.
THE DUSTY BENCH STOOD BY THE STONE WALL, The dusty bench this did by the stone wall.
WE DRESS TO SUIT THE WEATHER OF MOST DAYS, we dress to suit the weather of most days.
SMILE WHEN YOU SAY NASTY WORDS, Smile when you say nasty words.
A BOWL OF RICE IS FREE WITH CHICKEN STEW, A bowl of rice is free with chicken stew.
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH, The water in this well is a source of good health.
TAKE SHELTER IN THIS TENT, Take shelter in this tent.
BUT KEEP STILL, But keep still.
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS, That guy is the writer of a few band books.
THE LITTLE TALES THEY TELL ARE FALSE, The little tails they tell are false.
THE DOOR WAS BARRED, Fedora was barred.
LOOKED, Locked.
AND BOLTED AS WELL, and bolted as well
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE, Right pairs are fit for a queen's table.
A BIG WET STAIN WAS ON THE ROUND CARPET, A big wet stain was on the round carpet.
THE KITE DIPPED AND SWAYED, the kite dipped in suede.
BUT STAYED ALOFT, But stayed aloft.
THE PLEASANT HOURS FLY BY MUCH TOO SOON, The pleasant hours fly by much too soon.
THE ROOM WAS CROWDED WITH A WILD MOB, The room was crowded with a wild mob.
THIS STRONG ARM SHALL SHIELD YOUR HONOR, This strong arm shall shield your honor.
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID, She blushed when he gave her a white orchid.
THE BEETLE DRONED IN THE HOT JUNE SUN, The beetle drone in the hot June sun.
PRESS THE PEDAL WITH YOUR LEFT FOOT, Press the pedal with your left foot.
NEAT PLANS FAIL WITHOUT LUCK, Need plans fell with that lock.
THE BLACK TRUNK FELL FROM THE LANDING, The black trunk fell from the landing.
THE BANK PRESSED FOR PAYMENT OF THE DEBT, The bank pressed for payment of the debt.
THE THEFT OF THE PEARL PIN WAS KEPT SECRET, The theft of the Pearl Pin was kept secret.
SHAKE HANDS WITH THIS FRIENDLY CHILD, Shake hands with this friendly child.
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE, The vast space stretched into the far distance.
A RICH FARM IS RARE IN THIS SANDY WASTE, A rich farm is rare in this sandy waste.
HIS WIFE GRIN EARNED MANY FRIENDS, His wide-grand-nearned many friends.
FLAX MAKES A FINE BRAND OF PAPER, Flax makes a fine brand of paper.
HURDLE THE PIT WITH THE AID OF A LONG POLE, Hurtle the pit with the aid of the long pole.
A STRONG BID MAY SCARE YOUR PARTNER STIFF," A strong bid may scare your partner, stiff."
EVEN A JUST CAUSE NEEDS POWER TO WIN, even a just cause needs power to win
PEEP UNDER THE TENT AND SEE THE CLOWNS, P-punder the tint and see the clowns.
THE LEAF DRIFTS ALONG WITH A SLOW SPIN, The leaf drifts along with a slow spin.
CHEAP CLOTHES ARE FLASHY BUT DON'T LAST, Cheap clothes are flashy but don't last.
A THING OF SMALL NOTE CAN CAUSE DESPAIR, A thing of small node can cause despair.
FLOOD THE MAILS WITH REQUESTS FOR THIS BOOK, flood the mails with requests for this book
A THICK COAT OF BLACK PAINT COVERED ALL, A thick coat of black paint covered all.
THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS, The pencil was cut to be sharp at both ends.
THOSE LAST WORDS WERE A STRONG STATEMENT, Those last words were a strong statement.
HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHEET, He wrote his name boldly at the top of the sheet.
DILL PICKLES ARE SOUR BUT TASTE FINE, Dill pickles are sour but taste fine.
DOWN THAT ROAD IS THE WAY TO THE GRAIN FARMER, down that road is the way to the green farmer
EITHER MUD OR DUST ARE FOUND AT ALL TIMES, either mud or dust are found at all times.
THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS, The best method is to fix it in place with clips.
IF YOU MUMBLE YOUR SPEECH WILL BE LOST, If you remember your speech will be lost.
AT NIGHT THE ALARM ROUSED HIM FROM A DEEP SLEEP," At night, the alarm roused him from a deep sleep."
READ JUST WHAT THE METER SAYS, Read just what the meter says.
FILL YOUR PACK WITH BRIGHT TRINKETS FOR THE POOR, Fill your pack with bright trinkets for the poor.
THE SMALL RED NEON LAMP WENT OUT, The small red neon lamp went out.
CLAMS A SMALL ROUND SOFT AND TASTY," Clims are small, round, soft, and tasty."
THE FAN WHIRLED ITS ROUND BLADES SOFTLY, The fend world it's round blades softly.
THE LINE WHERE THE EDGES JOIN WAS CLEAN, The line where the edges join was clean.
BREATHE DEEP AND SMELL THE PINY AIR, Breathe deep and smell the piney air.
IT MATTERS NOT IF HE READS THESE WORDS OR THOSE, It matters not if he reads these words or those.
A BROWN LEATHER BAG HUNG FROM ITS STRAP, A brown leather bag hung from its strap.
HE TOAD AND A FROG ARE HARD TO TELL APART, I chowed and a frog are hard to tell apart.
A WHITE SILK JACKET GOES WITH ANY SHOES, A white silk jacket goes with any shoes.
A BREAK IN THE DAM ALMOST CAUSED A FLOOD, A break in the dam almost caused a flood.
PAINT THE SOCKETS IN THE WALL DULL GREEN, Paint the sockets in the walled-out green.
THE CHILD CRAWLED INTO THE DENSE GRASS, the child crawled into the dense grass.
BRIBES FAIL WHERE HONEST MEN WORK, Bribes fail were honest men work.
